jvm_threads_deadlocked_monitor,"Cycles of JVM-threads that are in deadlock waiting to acquire object monitors",,Gauge
jvm_threads_peak,"Peak thread count of a JVM",,Gauge
jvm_threads_started_total,"Started thread count of a JVM",,Sum
jvm_threads_state,"Current count of threads by state",,Gauge
kafka_cluster_partition_atminisr,"Attribute exposed for management kafka.cluster:name=AtMinIsr,type=Partition,attribute=Value",,Gauge
kafka_cluster_partition_insyncreplicascount,"Attribute exposed for management kafka.cluster:name=InSyncReplicasCount,type=Partition,attribute=Value",,Gauge
kafka_cluster_partition_laststableoffsetlag,"Attribute exposed for management kafka.cluster:name=LastStableOffsetLag,type=Partition,attribute=Value",,Gauge
kafka_cluster_partition_replicascount,"Attribute exposed for management kafka.cluster:name=ReplicasCount,type=Partition,attribute=Value",,Gauge
kafka_cluster_partition_underminisr,"Attribute exposed for management kafka.cluster:name=UnderMinIsr,type=Partition,attribute=Value",,Gauge
kafka_cluster_partition_underreplicated,"Attribute exposed for management kafka.cluster:name=UnderReplicated,type=Partition,attribute=Value",,Gauge
kafka_connect_app_info,"Metric indicating start-time-ms kafka.connect:name=null,type=app-info,attribute=start-time-ms",,Sum
kafka_connect_connect_coordinator_metrics_assigned_connectors,"The number of connector instances currently assigned to this worker kafka.connect:name=null,type=connect-coordinator-metrics,attribute=assigned-connectors",,Gauge
kafka_connect_connect_coordinator_metrics_assigned_tasks,"The number of tasks currently assigned to this worker kafka.connect:name=null,type=connect-coordinator-metrics,attribute=assigned-tasks",,Gauge
kafka_connect_connect_coordinator_metrics_failed_rebalance_rate_per_hour,"The number of failed rebalance events per hour kafka.connect:name=null,type=connect-coordinator-metrics,attribute=failed-rebalance-rate-per-hour",,Gauge
kafka_connect_connect_coordinator_metrics_failed_rebalance_total,"The total number of failed rebalance events kafka.connect:name=null,type=connect-coordinator-metrics,attribute=failed-rebalance-total",,Gauge
kafka_connect_connect_coordinator_metrics_heartbeat_rate,"The number of heartbeats per second kafka.connect:name=null,type=connect-coordinator-metrics,attribute=heartbeat-rate",,Gauge
kafka_connect_connect_coordinator_metrics_heartbeat_response_time_max,"The max time taken to receive a response to a heartbeat request kafka.connect:name=null,type=connect-coordinator-metrics,attribute=heartbeat-response-time-max",,Gauge
kafka_connect_connect_coordinator_metrics_heartbeat_total,"The total number of heartbeats kafka.connect:name=null,type=connect-coordinator-metrics,attribute=heartbeat-total",,Gauge
kafka_connect_connect_coordinator_metrics_join_rate,"The number of group joins per second kafka.connect:name=null,type=connect-coordinator-metrics,attribute=join-rate",,Gauge
kafka_connect_connect_coordinator_metrics_join_time_avg,"The average time taken for a group rejoin kafka.connect:name=null,type=connect-coordinator-metrics,attribute=join-time-avg",,Gauge
kafka_connect_connect_coordinator_metrics_join_time_max,"The max time taken for a group rejoin kafka.connect:name=null,type=connect-coordinator-metrics,attribute=join-time-max",,Gauge
kafka_connect_connect_coordinator_metrics_join_total,"The total number of group joins kafka.connect:name=null,type=connect-coordinator-metrics,attribute=join-total",,Gauge
kafka_connect_connect_coordinator_metrics_last_heartbeat_seconds_ago,"The number of seconds since the last coordinator heartbeat was sent kafka.connect:name=null,type=connect-coordinator-metrics,attribute=last-heartbeat-seconds-ago",,Gauge
kafka_connect_connect_coordinator_metrics_last_rebalance_seconds_ago,"The number of seconds since the last successful rebalance event kafka.connect:name=null,type=connect-coordinator-metrics,attribute=last-rebalance-seconds-ago",,Gauge
