Name,Description,Unit,DataType
wildfly_datasource_pool_xaend_max_time,"The maximum time for a XAResource end invocation jboss.as:name=null,type=null,attribute=XAEndMaxTime",,Gauge
wildfly_datasource_pool_xaprepare_total_time,"The total time for all XAResource prepare invocations jboss.as:name=null,type=null,attribute=XAPrepareTotalTime",,Gauge
jvm_memory_objects_pending_finalization,"The number of objects waiting in the finalizer queue.",,Gauge
jvm_memory_bytes_used,"Used bytes of a given JVM memory area.",,Gauge
jvm_memory_pool_collection_used_bytes,"Used bytes after last collection of a given JVM memory pool.",,Gauge
wildfly_datasource_pool_total_creation_time,"The total time spent creating physical connections jboss.as:name=null,type=null,attribute=TotalCreationTime",,Gauge
wildfly_datasource_jdbc_prepared_statement_cache_access_count,"The number of times that the statement cache was accessed jboss.as:name=null,type=null,attribute=PreparedStatementCacheAccessCount",,Gauge
wildfly_undertow_error_count,"The number of 500 responses that have been sent by this listener jboss.as:name=null,type=null,attribute=errorCount",,Gauge
wildfly_datasource_jdbc_prepared_statement_cache_add_count,"The number of statements added to the statement cache jboss.as:name=null,type=null,attribute=PreparedStatementCacheAddCount",,Gauge
wildfly_datasource_pool_total_get_time,"The total time spent obtaining physical connections jboss.as:name=null,type=null,attribute=TotalGetTime",,Gauge
wildfly_datasource_pool_xarollback_max_time,"The maximum time for a XAResource rollback invocation jboss.as:name=null,type=null,attribute=XARollbackMaxTime",,Gauge
jvm_memory_pool_bytes_init,"Initial bytes of a given JVM memory pool.",,Gauge
jvm_classes_currently_loaded,"The number of classes that are currently loaded in the JVM",,Gauge
wildfly_datasource_pool_total_blocking_time,"The total blocking time jboss.as:name=null,type=null,attribute=TotalBlockingTime",,Gauge
wildfly_datasource_pool_idle_count,"The number of physical connections currently idle jboss.as:name=null,type=null,attribute=IdleCount",,Gauge
wildfly_datasource_pool_xarollback_count,"The number of XAResource rollback invocations jboss.as:name=null,type=null,attribute=XARollbackCount",,Gauge
wildfly_datasource_pool_average_usage_time,"The average time spent using a physical connection jboss.as:name=null,type=null,attribute=AverageUsageTime",,Gauge
wildfly_datasource_jdbc_prepared_statement_cache_miss_count,"The number of times that a statement request could not be satisfied with a statement from the cache jboss.as:name=null,type=null,attribute=PreparedStatementCacheMissCount",,Gauge
scrape_samples_scraped,"The number of samples the target exposed",,Gauge
wildfly_datasource_pool_destroyed_count,"The destroyed count jboss.as:name=null,type=null,attribute=DestroyedCount",,Gauge
wildfly_datasource_pool_total_pool_time,"The total time spent by physical connections in the pool jboss.as:name=null,type=null,attribute=TotalPoolTime",,Gauge
process_virtual_memory_bytes,"Virtual memory size in bytes.",,Gauge
jvm_threads_state,"Current count of threads by state",,Gauge
wildfly_datasource_pool_xaprepare_average_time,"The average time for a XAResource prepare invocation jboss.as:name=null,type=null,attribute=XAPrepareAverageTime",,Gauge
